Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,predicted_fraud,fraud_probability
Sep,3,Wednesday,Toyota,Urban,Monday,Nov,5,Male,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6059,10,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.25292829757310253
Sep,1,Monday,Accura,Urban,Friday,Sep,2,Male,Single,41,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,6060,7,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.48807747517739286
Aug,4,Saturday,Chevrolet,Rural,Monday,Oct,2,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6061,10,400,1,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.3896541657349045
Aug,2,Monday,Toyota,Urban,Wednesday,Aug,2,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6062,11,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.19431072157951823
Aug,1,Monday,Honda,Urban,Tuesday,Aug,1,Male,Married,42,Third Party,Sedan - Liability,Sport,30000 to 39000,0,6063,13,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.2765762492469588
Jul,4,Monday,Toyota,Urban,Monday,Jul,4,Male,Married,75,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,6064,16,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0,0.4005261808635949
Jul,4,Thursday,Honda,Urban,Wednesday,Nov,2,Male,Married,56,Policy Holder,Sport - Collision,Sport,more than 69000,0,6065,3,400,2,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.30456838572276357
Jul,4,Thursday,Honda,Urban,Friday,Jul,4,Female,Single,34,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6066,10,400,2,more than 30,more than 30,more than 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.4001046539683515
Jul,3,Friday,Toyota,Urban,Friday,Jul,4,Male,Married,65,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6067,11,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.28542778582934514
Jul,2,Wednesday,Pontiac,Urban,Wednesday,Jul,3,Male,Married,61,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,6068,12,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.27062603184580913
Jul,2,Tuesday,Toyota,Urban,Tuesday,Jul,2,Male,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6069,11,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,3 to 4,1994,Liability,0,0.34806713674902356
Jul,1,Sunday,Ford,Urban,Monday,Jul,1,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,6070,1,500,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,2 to 3 years,2 vehicles,1994,Collision,0,0.511665009687194
Jun,4,Monday,Nisson,Urban,Tuesday,Jun,5,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,6071,16,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0,0.32729656718992395
Jun,4,Sunday,Pontiac,Urban,Thursday,Jun,5,Male,Married,43,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6072,13,400,2,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0,0.22579205674238723
Sep,1,Thursday,Honda,Urban,Friday,Sep,1,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,6073,14,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.48659428350197986
May,4,Wednesday,Honda,Urban,Tuesday,Jun,3,Male,Single,41,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6074,14,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0,0.30936364021785145
May,2,Thursday,Honda,Urban,Friday,May,2,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,6075,11,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.42564312921681946
May,2,Wednesday,Mazda,Urban,Wednesday,May,4,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6076,1,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0,0.2751994538035024
Feb,3,Sunday,Pontiac,Urban,Tuesday,Feb,4,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,6077,14,700,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.32384491447042796
Nov,4,Thursday,Honda,Rural,Friday,Mar,2,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,6078,3,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1,0.6172524704130684
Dec,3,Thursday,Honda,Urban,Thursday,Dec,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6079,6,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.09846442821811952
Dec,3,Tuesday,Toyota,Urban,Tuesday,Dec,3,Male,Married,47,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6080,2,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.2640939417981808
Dec,1,Monday,Toyota,Urban,Monday,Dec,1,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6081,9,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0,0.31174655142849816
Oct,1,Friday,Pontiac,Urban,Friday,Oct,1,Male,Married,62,Third Party,Sedan - All Perils,Sedan,less than 20000,0,6082,13,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.43038107852900986
Dec,4,Thursday,Honda,Urban,Thursday,Dec,4,Female,Single,32,Third Party,Sedan - Liability,Sport,20000 to 29000,0,6083,3,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0,0.40702015434433647
Sep,4,Monday,Mazda,Urban,Tuesday,Oct,2,Male,Married,76,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6084,2,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.36410233898310473
Sep,4,Monday,Honda,Urban,Friday,Sep,5,Male,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6085,8,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.33345210119830204
Jan,4,Monday,Pontiac,Urban,Friday,Jan,5,Male,Married,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6086,9,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.3091861010440011
Jan,1,Saturday,VW,Urban,Tuesday,Mar,1,Female,Married,45,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,6087,14,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.3773292166046269
Sep,1,Friday,Toyota,Urban,Tuesday,Sep,2,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,6088,6,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.5240825952298915
Sep,1,Friday,Mazda,Urban,Tuesday,Sep,2,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,6089,10,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.4305161279166789
Apr,1,Friday,VW,Rural,Tuesday,Apr,1,Male,Married,80,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6090,4,400,3,more than 30,more than 30,2 to 4,6 years,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.5140489709795606
Mar,4,Monday,Mazda,Urban,Monday,Mar,4,Female,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6091,1,400,3,more than 30,more than 30,2 to 4,3 years,26 to 30,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Liability,1,0.6105619462420934
Oct,1,Wednesday,Mazda,Urban,Thursday,Oct,2,Male,Married,49,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,6092,7,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.2592433110561434
Oct,1,Monday,Mercury,Urban,Monday,Oct,1,Male,Married,36,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6093,11,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.31526828344627766
Sep,1,Friday,Toyota,Urban,Monday,Sep,1,Female,Single,45,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,6094,10,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1,0.6997529339745112
Mar,3,Thursday,Pontiac,Urban,Monday,Apr,1,Male,Married,53,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6095,10,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0,0.3083500723364896
Mar,2,Sunday,Toyota,Urban,Tuesday,Mar,5,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6096,14,400,1,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.35668411141532685
Jun,3,Friday,Accura,Urban,Friday,Jun,3,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6097,2,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0,0.2647256486110179
Mar,5,Wednesday,Honda,Urban,Wednesday,Mar,5,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6098,3,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,1 year,1 vehicle,1994,Liability,0,0.5302280346134807
Jun,5,Friday,Toyota,Urban,Monday,Jul,1,Female,Single,23,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,6099,2,400,1,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.4908932632732226
Jun,4,Tuesday,Toyota,Urban,Tuesday,Jul,1,Female,Married,36,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6100,6,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.3348075639958161
Oct,4,Wednesday,Toyota,Urban,Monday,Oct,5,Male,Single,27,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,6101,5,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.3285558015556399
Aug,1,Friday,Honda,Urban,Monday,Aug,2,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6102,2,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.23717666968085116
Dec,1,Saturday,Saab,Urban,Monday,Dec,1,Male,Married,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6103,12,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.2328027353609503
Dec,1,Friday,Mazda,Urban,Monday,Dec,1,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6104,4,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.18829214276604167
Apr,2,Friday,Pontiac,Urban,Friday,Apr,3,Male,Married,50,Third Party,Sedan - Liability,Sport,20000 to 29000,0,6105,2,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0,0.3863068264352195
Sep,1,Saturday,Accura,Urban,Thursday,Oct,3,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,6106,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.3899451805610582
Sep,1,Saturday,Pontiac,Urban,Monday,Nov,2,Female,Married,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,6107,3,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.4992539672989018
Jun,2,Monday,Chevrolet,Urban,Thursday,Jun,3,Female,Single,28,Third Party,Sedan - Collision,Sedan,more than 69000,0,6108,6,700,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.5618629570653836
Jun,2,Saturday,Pontiac,Urban,Monday,Jun,2,Male,Married,49,Policy Holder,Sport - All Perils,Sport,30000 to 39000,0,6109,2,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0,0.22959595537291022
Sep,1,Saturday,Mazda,Urban,Friday,Sep,4,Male,Single,22,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,6110,3,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,3 to 4,1994,Collision,1,0.6452426639194284
Jun,2,Thursday,Honda,Urban,Thursday,Jun,2,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6111,14,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.07859856763357831
Jun,1,Monday,Pontiac,Urban,Tuesday,Jun,2,Male,Single,44,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6112,12,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,0,0.4429477114237823
Sep,1,Thursday,Pontiac,Urban,Thursday,Sep,2,Male,Single,36,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6113,10,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.23895883458114686
Aug,3,Tuesday,Pontiac,Urban,Monday,Aug,4,Male,Married,29,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,6114,14,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.24638794996609492
Sep,4,Thursday,Chevrolet,Urban,Wednesday,Oct,1,Male,Married,52,Third Party,Utility - All Perils,Utility,more than 69000,0,6115,5,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,1,0.6115119364834385
Sep,3,Tuesday,Pontiac,Urban,Thursday,Sep,4,Male,Married,41,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6116,6,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.2461287700509348
Oct,4,Saturday,Honda,Urban,Wednesday,Oct,4,Female,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6117,11,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability,0,0.43736914873167687
Oct,3,Thursday,Honda,Urban,Friday,Nov,4,Male,Married,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6118,14,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0,0.19330429472760502
Sep,1,Saturday,Toyota,Urban,Tuesday,Sep,1,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,6119,6,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.38179478109241904
Nov,1,Wednesday,Honda,Rural,Monday,Dec,1,Male,Single,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6120,4,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Liability,1,0.6115490303281486
Dec,1,Monday,Pontiac,Urban,Friday,Dec,2,Female,Single,27,Third Party,Sedan - Liability,Sport,30000 to 39000,0,6121,10,500,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Liability,1,0.5974361894717968
Nov,4,Saturday,Mazda,Urban,Monday,Nov,5,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6122,8,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.17796163500324547
Apr,1,Saturday,Toyota,Urban,Wednesday,Apr,1,Male,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6123,8,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.24121426181163053
Apr,4,Saturday,Mazda,Urban,Monday,Apr,4,Male,Married,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6124,11,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability,0,0.3817190182249123
May,1,Monday,Toyota,Urban,Wednesday,May,3,Male,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6125,7,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0,0.18078250483008285
May,4,Sunday,Pontiac,Urban,Monday,May,4,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6126,7,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.0728351096727815
Jun,2,Friday,Toyota,Urban,Wednesday,Jun,4,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6127,10,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0,0.15813435394484032
Jun,1,Sunday,Mazda,Urban,Monday,Jun,1,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6128,13,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.2290850349650453
Sep,1,Saturday,Mazda,Urban,Monday,Sep,1,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,6129,12,400,3,more than 30,more than 30,none,5 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision,0,0.588722679815029
Jul,2,Wednesday,VW,Urban,Thursday,Jul,2,Male,Married,51,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6130,7,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0,0.22790541665110087
Oct,3,Saturday,Honda,Urban,Tuesday,Oct,3,Male,Married,50,Third Party,Sedan - Liability,Sport,20000 to 29000,0,6131,15,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.22038025841842135
Oct,2,Monday,Pontiac,Urban,Monday,Oct,2,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,6132,10,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.19909597816770108
Sep,5,Thursday,Toyota,Urban,Tuesday,Nov,2,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,6133,12,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,0,0.5192619859310925
Sep,4,Thursday,Honda,Urban,Friday,Sep,4,Male,Married,50,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6134,16,400,4,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.34381752619814265
Sep,4,Friday,Saab,Urban,Friday,Sep,5,Male,Single,24,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,6135,14,400,4,more than 30,more than 30,none,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0,0.48606165467940277
Jul,3,Thursday,Mazda,Rural,Tuesday,Jul,4,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6136,16,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0,0.39099409721788814
Jul,3,Wednesday,Toyota,Urban,Thursday,Jul,3,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6137,3,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0,0.13847426085535963
Jul,1,Saturday,Pontiac,Urban,Thursday,Jul,2,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6138,12,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0,0.1494236637068871
Mar,4,Sunday,Mazda,Urban,Tuesday,Mar,5,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6139,4,700,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0,0.37580486293895354
Mar,4,Thursday,Toyota,Urban,Thursday,Mar,4,Female,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6140,14,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.24176395537779938
Nov,4,Saturday,Chevrolet,Urban,Monday,Nov,5,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6141,13,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0,0.3009025856900014
Nov,5,Monday,Accura,Urban,Monday,Nov,5,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6142,3,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0,0.3679114069637096
Nov,4,Sunday,Toyota,Urban,Wednesday,Nov,5,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6143,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0,0.20258803658281455
Nov,4,Wednesday,Toyota,Urban,Wednesday,Nov,4,Female,Married,68,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6144,3,400,2,more than 30,more than 30,more than 4,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0,0.43986549438351785
Nov,4,Thursday,Ford,Urban,Monday,Nov,5,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6145,4,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0,0.20038133339521857
Sep,1,Sunday,Mazda,Urban,Thursday,Sep,2,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,6146,10,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0,0.5108002775544502
Oct,4,Wednesday,Honda,Urban,Tuesday,Nov,5,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6147,8,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0,0.1784574666836386
Oct,3,Sunday,Toyota,Urban,Monday,Oct,3,Male,Single,66,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,6148,7,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0,0.42229092773862587
Sep,1,Sunday,Pontiac,Urban,Tuesday,Sep,2,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,6149,16,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision,0,0.4561652625370678
Sep,1,Sunday,Honda,Rural,Monday,Sep,1,Male,Single,18,Policy Holder,Sport - Collision,Sport,more than 69000,1,6150,6,400,4,more than 30,more than 30,none,5 years,21 to 25,No,No,External,none,no change,1 vehicle,1995,Collision,1,0.7640794337108734
Jul,2,Monday,Toyota,Urban,Monday,Aug,1,Male,Married,70,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6151,10,400,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,3 to 4,1995,All Perils,0,0.5373973849070299
Jun,5,Wednesday,Toyota,Urban,Thursday,Aug,1,Male,Married,75,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6152,3,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0,0.4002581405693634
Jun,5,Tuesday,Honda,Urban,Monday,Jul,2,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6153,5,400,1,more than 30,more than 30,1,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0,0.2579548628107635
Jun,4,Tuesday,Chevrolet,Urban,Monday,Jul,3,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,6154,12,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1995,Collision,0,0.3072757077641487
Jun,3,Sunday,Toyota,Urban,Tuesday,Jun,5,Male,Married,37,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,6155,9,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0,0.17357550385330844
Jun,3,Thursday,Pontiac,Urban,Friday,Jun,3,Male,Married,45,Third Party,Sedan - Liability,Sport,30000 to 39000,0,6156,13,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0,0.18370779986577868
